Club,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
CHI,D,W,L,L,L,D,D,D,D,L,D,D,D,W,D,D,D,D,L,L,D,L,D,D,W,W,L,W,W,W,D,L,W,W
CHV,L,L,D,D,D,W,W,L,W,L,D,D,W,L,L,L,D,W,D,D,W,L,W,D,D,L,L,L,L,D,W,D,L,L
CLB,L,D,W,D,W,D,W,D,L,L,D,D,W,L,W,W,L,W,D,L,W,W,L,W,W,L,L,D,L,L,L,W,W,L
COL,W,W,W,L,L,L,D,W,D,D,D,D,D,D,W,L,L,D,D,W,L,W,D,W,W,W,D,L,L,L,D,W,D,W
DAL,D,L,L,W,L,W,W,D,W,W,D,W,D,W,L,W,W,W,L,D,W,D,W,L,D,L,W,L,L,L,L,W,W,L
DC,W,L,L,D,W,L,L,W,D,D,W,D,L,D,D,D,W,D,L,W,D,W,D,L,W,L,D,W,L,L,L,L,D,L
HOU,L,D,D,W,W,D,W,L,L,D,D,L,D,L,W,L,D,D,W,D,L,W,D,W,D,W,L,L,D,W,W,D,W,W
LA,W,D,L,W,D,D,W,W,L,D,D,W,W,W,W,D,D,W,D,D,W,W,W,L,W,W,D,W,W,W,W,L,W,L
NE,D,W,D,D,L,L,W,L,D,W,L,L,L,L,D,D,L,D,L,W,D,D,L,L,D,D,D,W,L,L,L,L,L,D
PHI,W,W,L,W,D,W,L,D,L,W,W,D,D,L,D,W,D,D,W,L,D,D,D,L,L,D,D,W,D,W,D,W,D,L
POR,L,L,D,W,W,L,W,W,D,W,L,L,L,D,L,L,L,W,L,D,W,D,L,L,W,W,D,W,D,L,W,L,D,D
RBNY,W,D,D,L,W,W,W,D,L,D,D,D,D,W,D,L,D,D,W,L,D,L,D,L,D,D,D,W,L,W,D,W,L,W
RSL,W,W,W,W,L,W,D,D,L,W,L,D,D,D,W,D,W,W,L,L,W,L,L,W,W,W,W,W,L,L,L,L,D,D
SEA,L,L,D,D,W,D,W,W,L,D,D,W,L,W,D,D,W,W,W,D,W,W,L,W,D,W,W,L,W,W,W,L,W,W
SJ,L,W,D,D,L,L,L,D,W,W,D,W,W,L,D,D,L,D,D,D,L,L,D,L,L,D,W,L,D,D,D,W,L,W
SKC,W,L,D,L,L,L,L,L,D,D,D,W,W,D,W,W,D,D,D,W,D,W,L,W,W,L,D,W,L,D,W,D,W,W
TOR,L,W,D,D,D,L,D,L,W,L,D,D,L,D,D,D,L,L,W,L,L,L,L,D,D,W,L,D,W,W,L,D,D,D
VAN,W,L,D,D,L,D,L,L,D,D,L,D,D,L,D,W,L,L,L,L,D,L,W,L,L,W,D,L,L,L,W,W,L,L
